"","article_link","img_link"
"1","https://www.agroinnovationlab.com/de/pitch-pack-vetroline-startup-day-powered-by-agro-innovation-lab/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/PitchPack-Logo.png"
"2","https://www.agroinnovationlab.com/de/neuer-innovationsmanager-im-ail/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/Florian_Haller-scaled-e1618823257641.jpg"
"3","https://www.agroinnovationlab.com/de/smart-agri-hubs-central-europe/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/Smart-Agri-Hubs-resource-91-e1616753342799.jpg"
"4","https://www.agroinnovationlab.com/de/die-green-lagerhaus-challenge-sucht-innovative-produkte/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/AIL_Green-LH-Challenge_Logo_RGB-e1616753775202.jpg"
"5","https://www.agroinnovationlab.com/de/agro-innovation-lab-thomas-more-college-geel-in-belgien/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/Thomas-More-Logo-e1616753963192.jpg"
"6","https://www.agroinnovationlab.com/de/zukunft-erde-update-zum-humusaufbau-programm/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/ZE_web_RG-6-kleiner-e1616762139130.jpg"
"7","https://www.agroinnovationlab.com/de/alumnus-biorfarm-erfolgreich-mit-crowdfunding-kampagne/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/Biorfarm_LOGO-e1616755742337.jpg"
"8","https://www.agroinnovationlab.com/de/neue-unterstuetzung-im-service-bereich/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/Philipp-Kasses-2-scaled-e1616756118763.jpg"
"9","https://www.agroinnovationlab.com/de/erfolgsnews-von-unseren-alumni-evologic-bartsparts-schliessen-neue-finanzierungsrunde-ab/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/Evologic-BartsParts-e1616757780211.jpg"
"10","https://www.agroinnovationlab.com/de/intelligente-landwirtschaft-durch-das-internet-der-dinge/","https://www.agroinnovationlab.com/wp-content/uploads/2021/01/IoT-cLouis-Reed-e1616762574251.jpg"
"11","https://www.agroinnovationlab.com/de/wetterdaten-in-der-landwirtschaft/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/RG_Wetterdaten_copyright_Pessl-Instruments-klein-e1616760615979.jpg"
"12","https://www.agroinnovationlab.com/de/das-ail-setzt-auf-fokusthemen-iot-nachhaltigkeit-klimaschutz-und-automatisierung/","https://www.agroinnovationlab.com/wp-content/uploads/2021/03/ZE_web_RG-6-kleiner-e1616762139130.jpg"
"13","https://www.agroinnovationlab.com/de/5-jahre-ail/","https://www.agroinnovationlab.com/wp-content/uploads/2020/07/AIL_Logo-mobile-retina.png"
"14","https://www.agroinnovationlab.com/de/das-ail-team-wuenscht-frohe-weihnachten/","https://www.agroinnovationlab.com/wp-content/uploads/2020/12/Foto-Weihnachtsgrüße-e1608207231602.jpg"
"15","https://www.agroinnovationlab.com/de/robotik-loesungen-fuer-die-oesterreichische-landwirtschaft/","https://www.agroinnovationlab.com/wp-content/uploads/2020/12/2020_Ted-new-version-25-e1617102965607.png"
"16","https://www.agroinnovationlab.com/de/robotik-power-fuer-oesterreichische-umspannwerke/","https://www.agroinnovationlab.com/wp-content/uploads/2020/12/EPOS_Austrian-Power-Grid-AG-e1608557138917.jpg"
"17","https://www.agroinnovationlab.com/de/mycosolutions-trichoderma-pilz-als-staerkung-fuer-die-pflanze/","https://www.agroinnovationlab.com/wp-content/uploads/2020/12/MycoSolutions-Logo-RGB-mit-Slogan.png"
"18","https://www.agroinnovationlab.com/de/farmhedge-update/","https://www.agroinnovationlab.com/wp-content/uploads/2020/12/FarmHedge_Logo_Black-e1608556068333.png"
"19","https://www.agroinnovationlab.com/de/efriends-wie-kooperationen-erfolgreich-geknuepft-werden/","https://www.agroinnovationlab.com/wp-content/uploads/2020/12/efriends-e1608554762589.png"
"20","https://www.agroinnovationlab.com/de/von-der-stadt-aufs-land/","https://www.agroinnovationlab.com/wp-content/uploads/2020/12/Büro-neu-2-scaled-e1608557360627.jpg"
"21","https://www.agroinnovationlab.com/de/neu-im-team-lena-ranneberg/","https://www.agroinnovationlab.com/wp-content/uploads/2020/12/Foto_Lena-e1608206276659.jpg"
"22","https://www.agroinnovationlab.com/de/innovationspartnerschaft-invivo-quest-gemeinsam-die-besten-start-ups-in-der-landwirtschaft-finden/","https://www.agroinnovationlab.com/wp-content/uploads/2020/08/Logo-InVivo.png"
"23","https://www.agroinnovationlab.com/de/autonomes-gruenflaechenmanagement/","https://www.agroinnovationlab.com/wp-content/uploads/2020/08/Vitirover_Weingarten-e1597828662785.jpg"
"24","https://www.agroinnovationlab.com/de/pilotprojekt-teilflaeche-optimierter-ressourceneinsatz-steigerung-des-ertrags-durch-smart-farming/","https://www.agroinnovationlab.com/wp-content/uploads/2020/08/Pilotprojekt-Teilfläche_1.png"
"25","https://www.agroinnovationlab.com/de/wir-suchen-einen-innovationsmanager-eine-innovationsmanagerin/","https://www.agroinnovationlab.com/wp-content/uploads/2020/05/csm_AIL_goes_Co-Inno_breit_9cc5a091b5.jpg"
"26","https://www.agroinnovationlab.com/de/zukunft-erde-das-innovative-humusaufbau-programm/","https://www.agroinnovationlab.com/wp-content/uploads/2020/08/ZukunftErde-Logo.jpg"
"27","https://www.agroinnovationlab.com/de/trichogramma-ausbringung-2020/","https://www.agroinnovationlab.com/wp-content/uploads/2020/08/Trichogramma_Pilot-mini.png"
"28","https://www.agroinnovationlab.com/de/rehkitzrettung/","https://www.agroinnovationlab.com/wp-content/uploads/2020/08/Rehkitz_Wärmebild-1-e1597831914583.jpg"
